#ID	chr	strand	C1Start	C1End	AStart	AEnd	C2Start	C2End	trans_ID:exon#:trans_length	genes
chr21:+:CXADR:RefSeq_tri174807:v1	chr21	+	18919345	18919511	18924067	18924271	18937746	18942429	NM_001207064:2-4:5323,	CXADR,
chr21:+:CXADR:RefSeq_tri174808:v1	chr21	+	18924067	18924271	18931294	18931449	18933020	18933142	NM_001207066:3-5:1669,NM_001338:3-5:5741,	CXADR,
chr21:+:CXADR:RefSeq_tri174809:v1	chr21	+	18924067	18924271	18931294	18931449	18937746	18942429	NM_001207063:3-5:5479,	CXADR,
chr21:+:CXADR:RefSeq_tri174810:v1	chr21	+	18931294	18931449	18933020	18933142	18933656	18933794	NM_001207066:4-6:1669,NM_001338:4-6:5741,	CXADR,
chr21:+:CXADR:RefSeq_tri174811:v1	chr21	+	18933020	18933142	18933656	18933794	18937746	18937929	NM_001207066:5-7:1669,	CXADR,
chr21:+:CXADR:RefSeq_tri174812:v1	chr21	+	18933020	18933142	18933656	18933794	18937746	18942429	NM_001338:5-7:5741,	CXADR,
chr21:+:CXADR:RefSeq_tri174813:v1	chr21	+	18933656	18933794	18937746	18937929	18965470	18965897	NM_001207066:6-8:1669,	CXADR,
chr21:+:CHODL:RefSeq_tri174814:v1	chr21	+	19289657	19289717	19400190	19400289	19628826	19629135	NM_001204178:1-3:2133,NM_001204176:1-3:2236,	CHODL,
chr21:+:CHODL:RefSeq_tri174815:v1	chr21	+	19289657	19289717	19628826	19629135	19629287	19629444	NM_001204175:1-3:2136,NM_001204177:1-3:2033,	CHODL,
chr21:+:CHODL:RefSeq_tri174816:v1	chr21	+	19400190	19400289	19628826	19629135	19629287	19629444	NM_001204178:2-4:2133,NM_001204176:2-4:2236,	CHODL,
chr21:+:CHODL:RefSeq_tri174817:v1	chr21	+	19617150	19617619	19628826	19629135	19629287	19629444	NM_024944:1-3:2545,	CHODL,
chr21:+:CHODL:RefSeq_tri174818:v1	chr21	+	19618192	19618286	19628826	19629135	19629287	19629444	NM_001204174:1-3:2170,	CHODL,
chr21:+:CHODL:RefSeq_tri174819:v1	chr21	+	19628826	19629135	19629287	19629444	19632517	19632603	NM_001204178:3-5:2133,NM_001204176:3-5:2236,NM_001204175:2-4:2136,NM_001204177:2-4:2033,NM_001204174:2-4:2170,NM_024944:2-4:2545,	CHODL,
chr21:+:CHODL:RefSeq_tri174820:v1	chr21	+	19629287	19629444	19632517	19632603	19635108	19635210	NM_001204176:4-6:2236,NM_001204175:3-5:2136,NM_001204174:3-5:2170,NM_024944:3-5:2545,	CHODL,
chr21:+:CHODL:RefSeq_tri174821:v1	chr21	+	19629287	19629444	19632517	19632603	19638271	19639687	NM_001204178:4-6:2133,NM_001204177:3-5:2033,	CHODL,
chr21:+:CHODL:RefSeq_tri174822:v1	chr21	+	19632517	19632603	19635108	19635210	19638271	19639687	NM_001204176:5-7:2236,NM_001204175:4-6:2136,NM_001204174:4-6:2170,NM_024944:4-6:2545,	CHODL,
chr21:+:NCAM2:RefSeq_tri174823:v1	chr21	+	22370633	22370936	22652898	22652972	22656514	22656720	NM_004540:1-3:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174824:v1	chr21	+	22652898	22652972	22656514	22656720	22658589	22658732	NM_004540:2-4:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174825:v1	chr21	+	22656514	22656720	22658589	22658732	22664424	22664561	NM_004540:3-5:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174826:v1	chr21	+	22658589	22658732	22664424	22664561	22696703	22696820	NM_004540:4-6:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174827:v1	chr21	+	22664424	22664561	22696703	22696820	22707825	22707985	NM_004540:5-7:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174828:v1	chr21	+	22696703	22696820	22707825	22707985	22710709	22710854	NM_004540:6-8:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174829:v1	chr21	+	22707825	22707985	22710709	22710854	22746183	22746333	NM_004540:7-9:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174830:v1	chr21	+	22710709	22710854	22746183	22746333	22782594	22782781	NM_004540:8-10:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174831:v1	chr21	+	22746183	22746333	22782594	22782781	22790793	22790889	NM_004540:9-11:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174832:v1	chr21	+	22782594	22782781	22790793	22790889	22804428	22804601	NM_004540:10-12:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174833:v1	chr21	+	22790793	22790889	22804428	22804601	22838927	22839046	NM_004540:11-13:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174834:v1	chr21	+	22804428	22804601	22838927	22839046	22840983	22841104	NM_004540:12-14:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174835:v1	chr21	+	22838927	22839046	22840983	22841104	22849612	22849792	NM_004540:13-15:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174836:v1	chr21	+	22840983	22841104	22849612	22849792	22881172	22881376	NM_004540:14-16:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174837:v1	chr21	+	22849612	22849792	22881172	22881376	22906858	22906977	NM_004540:15-17:5002,	NCAM2,
chr21:+:NCAM2:RefSeq_tri174838:v1	chr21	+	22881172	22881376	22906858	22906977	22910167	22912517	NM_004540:16-18:5002,	NCAM2,
chr21:+:JAM2:RefSeq_tri174839:v1	chr21	+	27011594	27012200	27056195	27056260	27062178	27062285	NM_021219:1-3:4327,NM_001270408:1-3:1747,	JAM2,
chr21:+:JAM2:RefSeq_tri174840:v1	chr21	+	27011594	27012200	27056195	27056260	27066068	27066220	NM_001270407:1-3:4219,	JAM2,
chr21:+:JAM2:RefSeq_tri174841:v1	chr21	+	27056195	27056260	27062178	27062285	27066068	27066220	NM_021219:2-4:4327,NM_001270408:2-4:1747,	JAM2,
chr21:+:JAM2:RefSeq_tri174842:v1	chr21	+	27056195	27056260	27066068	27066220	27070989	27071191	NM_001270407:2-4:4219,	JAM2,
chr21:+:JAM2:RefSeq_tri174843:v1	chr21	+	27062178	27062285	27066068	27066220	27070989	27071191	NM_021219:3-5:4327,NM_001270408:3-5:1747,	JAM2,
chr21:+:JAM2:RefSeq_tri174844:v1	chr21	+	27066068	27066220	27070989	27071191	27074482	27074581	NM_001270407:3-5:4219,NM_021219:4-6:4327,NM_001270408:4-6:1747,	JAM2,
chr21:+:JAM2:RefSeq_tri174845:v1	chr21	+	27070989	27071191	27074482	27074581	27078291	27078398	NM_001270407:4-6:4219,NM_021219:5-7:4327,NM_001270408:5-7:1747,	JAM2,
chr21:+:JAM2:RefSeq_tri174846:v1	chr21	+	27074482	27074581	27078291	27078398	27081746	27081761	NM_001270407:5-7:4219,NM_021219:6-8:4327,NM_001270408:6-8:1747,	JAM2,
chr21:+:JAM2:RefSeq_tri174847:v1	chr21	+	27078291	27078398	27081746	27081761	27084652	27084694	NM_001270407:6-8:4219,NM_021219:7-9:4327,NM_001270408:7-9:1747,	JAM2,
chr21:+:JAM2:RefSeq_tri174848:v1	chr21	+	27081746	27081761	27084652	27084694	27086543	27086885	NM_001270408:8-10:1747,	JAM2,
chr21:+:JAM2:RefSeq_tri174849:v1	chr21	+	27081746	27081761	27084652	27084694	27086952	27089874	NM_001270407:7-9:4219,NM_021219:8-10:4327,	JAM2,
chr21:+:GABPA:RefSeq_tri174850:v1	chr21	+	27107258	27107381	27113884	27113986	27117521	27117665	NM_001197297:1-3:4743,	GABPA,
chr21:+:GABPA:RefSeq_tri174851:v1	chr21	+	27107329	27107889	27113884	27113986	27117521	27117665	NM_002040:1-3:5180,	GABPA,
chr21:+:GABPA:RefSeq_tri174852:v1	chr21	+	27113884	27113986	27117521	27117665	27121347	27121431	NM_002040:2-4:5180,NM_001197297:2-4:4743,	GABPA,
chr21:+:GABPA:RefSeq_tri174853:v1	chr21	+	27117521	27117665	27121347	27121431	27124300	27124545	NM_002040:3-5:5180,NM_001197297:3-5:4743,	GABPA,
chr21:+:GABPA:RefSeq_tri174854:v1	chr21	+	27121347	27121431	27124300	27124545	27130321	27130515	NM_002040:4-6:5180,NM_001197297:4-6:4743,	GABPA,
chr21:+:GABPA:RefSeq_tri174855:v1	chr21	+	27124300	27124545	27130321	27130515	27134623	27134676	NM_002040:5-7:5180,NM_001197297:5-7:4743,	GABPA,
chr21:+:GABPA:RefSeq_tri174856:v1	chr21	+	27130321	27130515	27134623	27134676	27136521	27136661	NM_002040:6-8:5180,NM_001197297:6-8:4743,	GABPA,
chr21:+:GABPA:RefSeq_tri174857:v1	chr21	+	27134623	27134676	27136521	27136661	27136906	27137098	NM_002040:7-9:5180,NM_001197297:7-9:4743,	GABPA,
chr21:+:GABPA:RefSeq_tri174858:v1	chr21	+	27136521	27136661	27136906	27137098	27141315	27144771	NM_002040:8-10:5180,NM_001197297:8-10:4743,	GABPA,
chr21:+:USP16:RefSeq_tri174859:v1	chr21	+	30396938	30397098	30398030	30398092	30400194	30400295	NM_001032410:1-3:3036,	USP16,
chr21:+:USP16:RefSeq_tri174860:v1	chr21	+	30396938	30397098	30400194	30400295	30402916	30403094	NM_001001992:1-3:2970,NM_006447:1-3:2973,	USP16,
chr21:+:USP16:RefSeq_tri174861:v1	chr21	+	30398030	30398092	30400194	30400295	30402916	30403094	NM_001032410:2-4:3036,	USP16,
chr21:+:USP16:RefSeq_tri174862:v1	chr21	+	30400194	30400295	30402916	30403094	30407158	30407261	NM_001001992:2-4:2970,NM_001032410:3-5:3036,NM_006447:2-4:2973,	USP16,
chr21:+:USP16:RefSeq_tri174863:v1	chr21	+	30402916	30403094	30407158	30407261	30408592	30408695	NM_001001992:3-5:2970,NM_001032410:4-6:3036,NM_006447:3-5:2973,	USP16,
chr21:+:USP16:RefSeq_tri174864:v1	chr21	+	30407158	30407261	30408592	30408695	30409597	30409784	NM_001032410:5-7:3036,NM_006447:4-6:2973,	USP16,
chr21:+:USP16:RefSeq_tri174865:v1	chr21	+	30407158	30407261	30408592	30408695	30409600	30409784	NM_001001992:4-6:2970,	USP16,
chr21:+:USP16:RefSeq_tri174866:v1	chr21	+	30408592	30408695	30409597	30409784	30410656	30410751	NM_001032410:6-8:3036,NM_006447:5-7:2973,	USP16,
chr21:+:USP16:RefSeq_tri174867:v1	chr21	+	30408592	30408695	30409600	30409784	30410656	30410751	NM_001001992:5-7:2970,	USP16,
chr21:+:USP16:RefSeq_tri174868:v1	chr21	+	30409597	30409784	30410656	30410751	30411347	30411477	NM_001032410:7-9:3036,NM_006447:6-8:2973,	USP16,
chr21:+:USP16:RefSeq_tri174869:v1	chr21	+	30409600	30409784	30410656	30410751	30411347	30411477	NM_001001992:6-8:2970,	USP16,
chr21:+:USP16:RefSeq_tri174870:v1	chr21	+	30410656	30410751	30411347	30411477	30411802	30411889	NM_001001992:7-9:2970,NM_001032410:8-10:3036,NM_006447:7-9:2973,	USP16,
chr21:+:USP16:RefSeq_tri174871:v1	chr21	+	30411347	30411477	30411802	30411889	30412930	30413008	NM_001001992:8-10:2970,NM_001032410:9-11:3036,NM_006447:8-10:2973,	USP16,
chr21:+:USP16:RefSeq_tri174872:v1	chr21	+	30411802	30411889	30412930	30413008	30414334	30414425	NM_001001992:9-11:2970,NM_001032410:10-12:3036,NM_006447:9-11:2973,	USP16,
chr21:+:USP16:RefSeq_tri174873:v1	chr21	+	30412930	30413008	30414334	30414425	30414793	30414849	NM_001001992:10-12:2970,NM_001032410:11-13:3036,NM_006447:10-12:2973,	USP16,
chr21:+:USP16:RefSeq_tri174874:v1	chr21	+	30414334	30414425	30414793	30414849	30415744	30415920	NM_001001992:11-13:2970,NM_001032410:12-14:3036,NM_006447:11-13:2973,	USP16,
chr21:+:USP16:RefSeq_tri174875:v1	chr21	+	30414793	30414849	30415744	30415920	30418988	30419642	NM_001001992:12-14:2970,NM_001032410:13-15:3036,NM_006447:12-14:2973,	USP16,
chr21:+:USP16:RefSeq_tri174876:v1	chr21	+	30415744	30415920	30418988	30419642	30421082	30421176	NM_001001992:13-15:2970,NM_001032410:14-16:3036,NM_006447:13-15:2973,	USP16,
chr21:+:USP16:RefSeq_tri174877:v1	chr21	+	30418988	30419642	30421082	30421176	30422413	30422499	NM_001001992:14-16:2970,NM_001032410:15-17:3036,NM_006447:14-16:2973,	USP16,
chr21:+:USP16:RefSeq_tri174878:v1	chr21	+	30421082	30421176	30422413	30422499	30426123	30426279	NM_001001992:15-17:2970,NM_001032410:16-18:3036,NM_006447:15-17:2973,	USP16,
chr21:+:USP16:RefSeq_tri174879:v1	chr21	+	30422413	30422499	30426123	30426279	30426387	30426807	NM_001001992:16-18:2970,NM_001032410:17-19:3036,NM_006447:16-18:2973,	USP16,
chr21:+:MAP3K7CL:RefSeq_tri174880:v1	chr21	+	30452873	30453029	30457393	30457464	30458134	30458238	NM_020152:1-3:1995,	MAP3K7CL,
chr21:+:MAP3K7CL:RefSeq_tri174881:v1	chr21	+	30457393	30457464	30458134	30458238	30463822	30463897	NM_020152:2-4:1995,	MAP3K7CL,
chr21:+:MAP3K7CL:RefSeq_tri174882:v1	chr21	+	30458134	30458238	30463822	30463897	30463989	30464082	NM_020152:3-5:1995,	MAP3K7CL,
chr21:+:MAP3K7CL:RefSeq_tri174883:v1	chr21	+	30463822	30463897	30463989	30464082	30464760	30464902	NM_020152:4-6:1995,	MAP3K7CL,
chr21:+:MAP3K7CL:RefSeq_tri174884:v1	chr21	+	30463989	30464082	30464760	30464902	30521510	30521571	NM_020152:5-7:1995,	MAP3K7CL,
chr21:+:MAP3K7CL:RefSeq_tri174885:v1	chr21	+	30464760	30464902	30521510	30521571	30532262	30532377	NM_020152:6-8:1995,	MAP3K7CL,
chr21:+:MAP3K7CL:RefSeq_tri174886:v1	chr21	+	30521510	30521571	30532262	30532377	30547033	30548202	NM_020152:7-9:1995,	MAP3K7CL,
chr21:+:BACH1:RefSeq_tri174887:v1	chr21	+	30671220	30671274	30693542	30693835	30698380	30699714	NM_001186:1-3:5641,	BACH1,
chr21:+:BACH1:RefSeq_tri174888:v1	chr21	+	30671737	30671919	30693542	30693835	30698380	30699714	NM_206866:1-3:5769,	BACH1,
chr21:+:BACH1:RefSeq_tri174889:v1	chr21	+	30693542	30693835	30698380	30699714	30701808	30702014	NM_206866:2-4:5769,NM_001186:2-4:5641,	BACH1,
chr21:+:BACH1:RefSeq_tri174890:v1	chr21	+	30698380	30699714	30701808	30702014	30714720	30718469	NM_206866:3-5:5769,NM_001186:3-5:5641,	BACH1,
chr21:+:SOD1:RefSeq_tri174891:v1	chr21	+	33031935	33032154	33036103	33036199	33038762	33038831	NM_000454:1-3:965,	SOD1,
chr21:+:SOD1:RefSeq_tri174892:v1	chr21	+	33036103	33036199	33038762	33038831	33039571	33039688	NM_000454:2-4:965,	SOD1,
chr21:+:SOD1:RefSeq_tri174893:v1	chr21	+	33038762	33038831	33039571	33039688	33040784	33041243	NM_000454:3-5:965,	SOD1,
chr21:+:HUNK:RefSeq_tri174894:v1	chr21	+	33245628	33246248	33296780	33297072	33312477	33312532	NM_014586:1-3:7385,	HUNK,
chr21:+:HUNK:RefSeq_tri174895:v1	chr21	+	33296780	33297072	33312477	33312532	33318348	33318483	NM_014586:2-4:7385,	HUNK,
chr21:+:HUNK:RefSeq_tri174896:v1	chr21	+	33312477	33312532	33318348	33318483	33331155	33331282	NM_014586:3-5:7385,	HUNK,
chr21:+:HUNK:RefSeq_tri174897:v1	chr21	+	33318348	33318483	33331155	33331282	33340562	33340697	NM_014586:4-6:7385,	HUNK,
chr21:+:HUNK:RefSeq_tri174898:v1	chr21	+	33331155	33331282	33340562	33340697	33346867	33347029	NM_014586:5-7:7385,	HUNK,
chr21:+:HUNK:RefSeq_tri174899:v1	chr21	+	33340562	33340697	33346867	33347029	33355839	33355922	NM_014586:6-8:7385,	HUNK,
chr21:+:HUNK:RefSeq_tri174900:v1	chr21	+	33346867	33347029	33355839	33355922	33362442	33362489	NM_014586:7-9:7385,	HUNK,
chr21:+:HUNK:RefSeq_tri174901:v1	chr21	+	33355839	33355922	33362442	33362489	33368081	33368261	NM_014586:8-10:7385,	HUNK,
chr21:+:HUNK:RefSeq_tri174902:v1	chr21	+	33362442	33362489	33368081	33368261	33370839	33376377	NM_014586:9-11:7385,	HUNK,
chr21:+:MRAP:RefSeq_tri174903:v1	chr21	+	33664124	33664160	33665304	33665443	33671273	33671388	NM_206898:1-3:626,NM_178817:1-3:998,	MRAP,
chr21:+:MRAP:RefSeq_tri174904:v1	chr21	+	33665304	33665443	33671273	33671388	33678951	33679050	NM_206898:2-4:626,NM_178817:2-4:998,	MRAP,
chr21:+:MRAP:RefSeq_tri174905:v1	chr21	+	33671273	33671388	33678951	33679050	33683995	33684599	NM_178817:3-5:998,	MRAP,
chr21:+:MRAP:RefSeq_tri174906:v1	chr21	+	33671273	33671388	33678951	33679050	33686862	33687094	NM_206898:3-5:626,	MRAP,
chr21:+:EVA1C:RefSeq_tri174907:v1	chr21	+	33784752	33785321	33825620	33825816	33829905	33830028	NM_058187:1-3:1933,	EVA1C,
chr21:+:EVA1C:RefSeq_tri174908:v1	chr21	+	33825620	33825816	33829905	33830028	33840004	33840156	NM_058187:2-4:1933,	EVA1C,
chr21:+:EVA1C:RefSeq_tri174909:v1	chr21	+	33829905	33830028	33840004	33840156	33867337	33867480	NM_058187:3-5:1933,	EVA1C,
chr21:+:EVA1C:RefSeq_tri174910:v1	chr21	+	33840004	33840156	33867337	33867480	33873725	33873805	NM_058187:4-6:1933,	EVA1C,
chr21:+:EVA1C:RefSeq_tri174911:v1	chr21	+	33867337	33867480	33873725	33873805	33876236	33876325	NM_058187:5-7:1933,	EVA1C,
chr21:+:EVA1C:RefSeq_tri174912:v1	chr21	+	33873725	33873805	33876236	33876325	33887124	33887697	NM_058187:6-8:1933,	EVA1C,
chr21:+:IFNAR2:RefSeq_tri174913:v1	chr21	+	34602231	34602521	34614145	34614282	34615978	34616019	NM_000874:1-3:1411,	IFNAR2,
chr21:+:IFNAR2:RefSeq_tri174914:v1	chr21	+	34602231	34602521	34614191	34614282	34615978	34616019	NM_207585:1-3:2891,NM_207584:1-3:1365,	IFNAR2,
chr21:+:IFNAR2:RefSeq_tri174915:v1	chr21	+	34614145	34614282	34615978	34616019	34617256	34617379	NM_000874:2-4:1411,	IFNAR2,
chr21:+:IFNAR2:RefSeq_tri174916:v1	chr21	+	34614191	34614282	34615978	34616019	34617256	34617379	NM_207585:2-4:2891,NM_207584:2-4:1365,	IFNAR2,
chr21:+:IFNAR2:RefSeq_tri174917:v1	chr21	+	34615978	34616019	34617256	34617379	34619023	34619195	NM_207585:3-5:2891,NM_207584:3-5:1365,NM_000874:3-5:1411,	IFNAR2,
chr21:+:IFNAR2:RefSeq_tri174918:v1	chr21	+	34617256	34617379	34619023	34619195	34621014	34621159	NM_207585:4-6:2891,NM_207584:4-6:1365,NM_000874:4-6:1411,	IFNAR2,
chr21:+:IFNAR2:RefSeq_tri174919:v1	chr21	+	34619023	34619195	34621014	34621159	34624967	34625135	NM_207585:5-7:2891,NM_207584:5-7:1365,NM_000874:5-7:1411,	IFNAR2,
chr21:+:IFNAR2:RefSeq_tri174920:v1	chr21	+	34621014	34621159	34624967	34625135	34632902	34633032	NM_207585:6-8:2891,NM_207584:6-8:1365,NM_000874:6-8:1411,	IFNAR2,
chr21:+:IFNAR2:RefSeq_tri174921:v1	chr21	+	34624967	34625135	34632902	34633032	34634866	34635062	NM_207584:7-9:1365,NM_000874:7-9:1411,	IFNAR2,
chr21:+:IFNAR2:RefSeq_tri174922:v1	chr21	+	34624967	34625135	34632902	34633032	34635098	34636820	NM_207585:7-9:2891,	IFNAR2,
chr21:+:IL10RB:RefSeq_tri174923:v1	chr21	+	34638665	34638819	34640699	34640822	34648901	34649058	NM_000628:1-3:1961,	IL10RB,
chr21:+:IL10RB:RefSeq_tri174924:v1	chr21	+	34640699	34640822	34648901	34649058	34652057	34652223	NM_000628:2-4:1961,	IL10RB,
chr21:+:IL10RB:RefSeq_tri174925:v1	chr21	+	34648901	34649058	34652057	34652223	34655399	34655546	NM_000628:3-5:1961,	IL10RB,
chr21:+:IL10RB:RefSeq_tri174926:v1	chr21	+	34652057	34652223	34655399	34655546	34660409	34660566	NM_000628:4-6:1961,	IL10RB,
chr21:+:IL10RB:RefSeq_tri174927:v1	chr21	+	34655399	34655546	34660409	34660566	34668489	34669539	NM_000628:5-7:1961,	IL10RB,
chr21:+:IFNAR1:RefSeq_tri174928:v1	chr21	+	34697214	34697436	34707830	34707953	34713305	34713480	NM_000629:1-3:6094,	IFNAR1,
chr21:+:IFNAR1:RefSeq_tri174929:v1	chr21	+	34707830	34707953	34713305	34713480	34715574	34715728	NM_000629:2-4:6094,	IFNAR1,
chr21:+:IFNAR1:RefSeq_tri174930:v1	chr21	+	34713305	34713480	34715574	34715728	34715841	34715982	NM_000629:3-5:6094,	IFNAR1,
chr21:+:IFNAR1:RefSeq_tri174931:v1	chr21	+	34715574	34715728	34715841	34715982	34717552	34717666	NM_000629:4-6:6094,	IFNAR1,
chr21:+:IFNAR1:RefSeq_tri174932:v1	chr21	+	34715841	34715982	34717552	34717666	34721397	34721596	NM_000629:5-7:6094,	IFNAR1,
chr21:+:IFNAR1:RefSeq_tri174933:v1	chr21	+	34717552	34717666	34721397	34721596	34721695	34721849	NM_000629:6-8:6094,	IFNAR1,
chr21:+:IFNAR1:RefSeq_tri174934:v1	chr21	+	34721397	34721596	34721695	34721849	34725064	34725214	NM_000629:7-9:6094,	IFNAR1,
chr21:+:IFNAR1:RefSeq_tri174935:v1	chr21	+	34721695	34721849	34725064	34725214	34725944	34726089	NM_000629:8-10:6094,	IFNAR1,
chr21:+:IFNAR1:RefSeq_tri174936:v1	chr21	+	34725064	34725214	34725944	34726089	34727622	34732128	NM_000629:9-11:6094,	IFNAR1,
chr21:+:IFNGR2:RefSeq_tri174937:v1	chr21	+	34775202	34775922	34787195	34787327	34793787	34793992	NM_005534:1-3:2221,	IFNGR2,
